Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\Ofav_CopyNumber.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-10-13 13:42:28 PM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOISE,NOSIGNAL,EXPFAIL
A1,4-63,OF_SC,UNKNOWN,SYBR,None,21.5015830994,21.3331413269,0.2382126451,,,,0,0.02,1,3,19,,N,N,N,N,N
A2,4-63,Actin_Of,UNKNOWN,SYBR,None,21.2633056641,21.0563774109,0.2926420867,,,,0,0.02,1,3,19,,N,N,N,N,N
A3,4-63,OF_SC,UNKNOWN,SYBR,None,21.1646995544,21.3331413269,0.2382126451,,,,0,0.02,1,3,19,,N,N,N,N,N
A4,4-63,Actin_Of,UNKNOWN,SYBR,None,20.8494472504,21.0563774109,0.2926420867,,,,0,0.02,1,3,18,,N,N,N,N,N
A5,4-57,OF_SC,UNKNOWN,SYBR,None,20.3863162994,20.4436225891,0.0810446814,,,,0,0.02,1,3,18,,N,N,N,N,N
A6,4-57,Actin_Of,UNKNOWN,SYBR,None,21.2196350098,20.8577766418,0.511746347,,,,0,0.02,1,3,19,,N,Y,N,N,N
A7,4-57,OF_SC,UNKNOWN,SYBR,None,20.5009307861,20.4436225891,0.0810446814,,,,0,0.02,1,3,19,,N,N,N,N,N
A8,4-57,Actin_Of,UNKNOWN,SYBR,None,20.4959163666,20.8577766418,0.511746347,,,,0,0.02,1,3,18,,N,Y,N,N,N
A9,4-49,OF_SC,UNKNOWN,SYBR,None,20.1673698425,20.1103935242,0.080575332,,,,0,0.02,1,3,18,,N,N,N,N,N
A10,4-49,Actin_Of,UNKNOWN,SYBR,None,18.7492618561,19.1811408997,0.6107705235,,,,0,0.02,1,3,17,,N,Y,N,N,N
A11,4-49,OF_SC,UNKNOWN,SYBR,None,20.0534191132,20.1103935242,0.080575332,,,,0,0.02,1,3,17,,N,N,N,N,N
A12,4-49,Actin_Of,UNKNOWN,SYBR,None,19.6130218506,19.1811408997,0.6107705235,,,,0,0.02,1,3,17,,N,Y,N,N,N
B1,6-44,OF_SC,UNKNOWN,SYBR,None,20.2691135406,20.3758563995,0.150957197,,,,0,0.02,1,3,18,,N,N,N,N,N
B2,6-44,Actin_Of,UNKNOWN,SYBR,None,20.7167263031,19.7070350647,1.4279190302,,,,0,0.02,1,3,19,,N,Y,N,N,N
B3,6-44,OF_SC,UNKNOWN,SYBR,None,20.4825992584,20.3758563995,0.150957197,,,,0,0.02,1,3,19,,N,N,N,N,N
B4,6-44,Actin_Of,UNKNOWN,SYBR,None,18.6973438263,19.7070350647,1.4279190302,,,,0,0.02,1,3,17,,N,Y,N,N,N
B5,6-50,OF_SC,UNKNOWN,SYBR,None,19.9531726837,19.9218215942,0.0443384834,,,,0,0.02,1,3,18,,N,N,N,N,N
B6,6-50,Actin_Of,UNKNOWN,SYBR,None,18.9817199707,19.0483055115,0.0941661745,,,,0,0.02,1,3,17,,N,N,N,N,N
B7,6-50,OF_SC,UNKNOWN,SYBR,None,19.8904685974,19.9218215942,0.0443384834,,,,0,0.02,1,3,18,,N,N,N,N,N
B8,6-50,Actin_Of,UNKNOWN,SYBR,None,19.1148910522,19.0483055115,0.0941661745,,,,0,0.02,1,3,17,,N,N,N,N,N
B9,6-26,OF_SC,UNKNOWN,SYBR,None,20.2227306366,20.0484695435,0.2464424074,,,,0,0.02,1,3,18,,N,N,N,N,N
B10,6-26,Actin_Of,UNKNOWN,SYBR,None,19.2133617401,18.8168563843,0.5607419014,,,,0,0.02,1,3,17,,N,Y,N,N,N
B11,6-26,OF_SC,UNKNOWN,SYBR,None,19.8742084503,20.0484695435,0.2464424074,,,,0,0.02,1,3,18,,N,N,N,N,N
B12,6-26,Actin_Of,UNKNOWN,SYBR,None,18.4203529358,18.8168563843,0.5607419014,,,,0,0.02,1,3,16,,N,Y,N,N,N
C1,7-40,OF_SC,UNKNOWN,SYBR,None,23.9885864258,23.8360214233,0.2157581449,,,,0,0.02,1,3,23,,N,N,N,N,N
C2,7-40,Actin_Of,UNKNOWN,SYBR,None,25.1204681396,24.108133316,1.4316576719,,,,0,0.02,1,3,24,,N,Y,N,N,N
C3,7-40,OF_SC,UNKNOWN,SYBR,None,23.6834583282,23.8360214233,0.2157581449,,,,0,0.02,1,3,22,,N,N,N,N,N
C4,7-40,Actin_Of,UNKNOWN,SYBR,None,23.0957984924,24.108133316,1.4316576719,,,,0,0.02,1,3,22,,N,Y,N,N,N
C5,7-77,OF_SC,UNKNOWN,SYBR,None,21.9185314178,21.7727584839,0.2061554044,,,,0,0.02,1,3,20,,N,N,N,N,N
C6,7-77,Actin_Of,UNKNOWN,SYBR,None,18.237039566,18.2029323578,0.0482348762,,,,0,0.02,1,3,16,,N,N,N,N,N
C7,7-77,OF_SC,UNKNOWN,SYBR,None,21.6269836426,21.7727584839,0.2061554044,,,,0,0.02,1,3,20,,N,N,N,N,N
C8,7-77,Actin_Of,UNKNOWN,SYBR,None,18.1688251495,18.2029323578,0.0482348762,,,,0,0.02,1,3,16,,N,N,N,N,N
C9,7-81,OF_SC,UNKNOWN,SYBR,None,22.0079479218,22.2114810944,0.2878393829,,,,0,0.02,1,3,20,,N,N,N,N,N
C10,7-81,Actin_Of,UNKNOWN,SYBR,None,18.8918209076,19.2028446198,0.4398539662,,,,0,0.02,1,3,17,,N,N,N,N,N
C11,7-81,OF_SC,UNKNOWN,SYBR,None,22.415014267,22.2114810944,0.2878393829,,,,0,0.02,1,3,20,,N,N,N,N,N
C12,7-81,Actin_Of,UNKNOWN,SYBR,None,19.5138683319,19.2028446198,0.4398539662,,,,0,0.02,1,3,18,,N,N,N,N,N
D1,8-3,OF_SC,UNKNOWN,SYBR,None,23.9118442535,23.5974617004,0.4446054101,,,,0,0.02,1,3,23,,N,N,N,N,N
D2,8-3,Actin_Of,UNKNOWN,SYBR,None,24.7280483246,25.1106109619,0.5410265923,,,,0,0.02,1,3,23,,N,Y,N,N,N
D3,8-3,OF_SC,UNKNOWN,SYBR,None,23.28307724,23.5974617004,0.4446054101,,,,0,0.02,1,3,21,,N,N,N,N,N
D4,8-3,Actin_Of,UNKNOWN,SYBR,None,25.4931755066,25.1106109619,0.5410265923,,,,0,0.02,1,3,24,,N,Y,N,N,N
D5,8-38,OF_SC,UNKNOWN,SYBR,None,22.8351478577,22.7901859283,0.0635857731,,,,0,0.02,1,3,21,,N,N,N,N,N
D6,8-38,Actin_Of,UNKNOWN,SYBR,None,19.7851314545,19.7754974365,0.0136245592,,,,0,0.02,1,3,18,,N,N,N,N,N
D7,8-38,OF_SC,UNKNOWN,SYBR,None,22.745223999,22.7901859283,0.0635857731,,,,0,0.02,1,3,21,,N,N,N,N,N
D8,8-38,Actin_Of,UNKNOWN,SYBR,None,19.7658634186,19.7754974365,0.0136245592,,,,0,0.02,1,3,18,,N,N,N,N,N
D9,8-28,OF_SC,UNKNOWN,SYBR,None,22.430896759,22.6587753296,0.322270304,,,,0,0.02,1,3,20,,N,N,N,N,N
D10,8-28,Actin_Of,UNKNOWN,SYBR,None,18.929227829,19.2131958008,0.4015900195,,,,0,0.02,1,3,17,,N,N,N,N,N
D11,8-28,OF_SC,UNKNOWN,SYBR,None,22.8866558075,22.6587753296,0.322270304,,,,0,0.02,1,3,21,,N,N,N,N,N
D12,8-28,Actin_Of,UNKNOWN,SYBR,None,19.4971618652,19.2131958008,0.4015900195,,,,0,0.02,1,3,18,,N,N,N,N,N
E1,4-64,OF_SC,UNKNOWN,SYBR,None,21.1008853912,21.0901679993,0.0151580302,,,,0,0.02,1,3,19,,N,N,N,N,N
E2,4-64,Actin_Of,UNKNOWN,SYBR,None,22.0255451202,22.0727825165,0.0668037683,,,,0,0.02,1,3,20,,N,N,N,N,N
E3,4-64,OF_SC,UNKNOWN,SYBR,None,21.0794487,21.0901679993,0.0151580302,,,,0,0.02,1,3,20,,N,N,N,N,N
E4,4-64,Actin_Of,UNKNOWN,SYBR,None,22.1200199127,22.0727825165,0.0668037683,,,,0,0.02,1,3,21,,N,N,N,N,N
E5,6-21,OF_SC,UNKNOWN,SYBR,None,20.3062744141,20.3433036804,0.0523659438,,,,0,0.02,1,3,18,,N,N,N,N,N
E6,6-21,Actin_Of,UNKNOWN,SYBR,None,18.3701610565,18.5161972046,0.2065276504,,,,0,0.02,1,3,16,,N,N,N,N,N
E7,6-21,OF_SC,UNKNOWN,SYBR,None,20.3803310394,20.3433036804,0.0523659438,,,,0,0.02,1,3,18,,N,N,N,N,N
E8,6-21,Actin_Of,UNKNOWN,SYBR,None,18.66223526,18.5161972046,0.2065276504,,,,0,0.02,1,3,17,,N,N,N,N,N
E9,7-28,OF_SC,UNKNOWN,SYBR,None,25.2053356171,25.3231391907,0.1665994078,,,,0,0.02,1,3,24,,N,N,N,N,N
E10,7-28,Actin_Of,UNKNOWN,SYBR,None,31.2237911224,30.1861343384,1.4674669504,,,,0,0.02,1,3,30,,N,Y,N,N,N
E11,6-38,OF_SC,UNKNOWN,SYBR,None,21.5534477234,21.8577041626,0.4302849174,,,,0,0.02,1,3,19,,N,N,N,N,N
E12,6-38,Actin_Of,UNKNOWN,SYBR,None,20.1676559448,20.3245334625,0.2218583077,,,,0,0.02,1,3,18,,N,N,N,N,N
F1,8-13,OF_SC,UNKNOWN,SYBR,None,22.4444618225,22.4123687744,0.0453864224,,,,0,0.02,1,3,21,,N,N,N,N,N
F2,8-13,Actin_Of,UNKNOWN,SYBR,None,19.9430274963,19.904838562,0.054008659,,,,0,0.02,1,3,18,,N,N,N,N,N
F3,8-13,OF_SC,UNKNOWN,SYBR,None,22.3802757263,22.4123687744,0.0453864224,,,,0,0.02,1,3,21,,N,N,N,N,N
F4,8-13,Actin_Of,UNKNOWN,SYBR,None,19.8666477203,19.904838562,0.054008659,,,,0,0.02,1,3,18,,N,N,N,N,N
F5,4-72,OF_SC,UNKNOWN,SYBR,None,19.920753479,20.0925617218,0.2429735512,,,,0,0.02,1,3,18,,N,N,N,N,N
F6,4-72,Actin_Of,UNKNOWN,SYBR,None,19.7381076813,19.5884132385,0.2116999179,,,,0,0.02,1,3,18,,N,N,N,N,N
F7,4-72,OF_SC,UNKNOWN,SYBR,None,20.2643699646,20.0925617218,0.2429735512,,,,0,0.02,1,3,18,,N,N,N,N,N
F8,4-72,Actin_Of,UNKNOWN,SYBR,None,19.4387187958,19.5884132385,0.2116999179,,,,0,0.02,1,3,18,,N,N,N,N,N
F9,7-28,OF_SC,UNKNOWN,SYBR,None,25.4409427643,25.3231391907,0.1665994078,,,,0,0.02,1,3,24,,N,N,N,N,N
F10,7-28,Actin_Of,UNKNOWN,SYBR,None,29.1484794617,30.1861343384,1.4674669504,,,,0,0.02,1,3,28,,N,Y,N,N,N
F11,6-38,OF_SC,UNKNOWN,SYBR,None,22.1619625092,21.8577041626,0.4302849174,,,,0,0.02,1,3,21,,N,N,N,N,N
F12,6-38,Actin_Of,UNKNOWN,SYBR,None,20.4814109802,20.3245334625,0.2218583077,,,,0,0.02,1,3,18,,N,N,N,N,N
G1,7-66,OF_SC,UNKNOWN,SYBR,None,22.8777580261,22.8911972046,0.01900452,,,,0,0.02,1,3,21,,N,N,N,N,N
G2,7-66,Actin_Of,UNKNOWN,SYBR,None,19.1252384186,18.9222793579,0.2870274484,,,,0,0.02,1,3,17,,N,N,N,N,N
G3,7-66,OF_SC,UNKNOWN,SYBR,None,22.9046344757,22.8911972046,0.01900452,,,,0,0.02,1,3,21,,N,N,N,N,N
G4,7-66,Actin_Of,UNKNOWN,SYBR,None,18.7193202972,18.9222793579,0.2870274484,,,,0,0.02,1,3,17,,N,N,N,N,N
G5,8-30,OF_SC,UNKNOWN,SYBR,None,23.3285923004,23.3192634583,0.0131943235,,,,0,0.02,1,3,21,,N,N,N,N,N
G6,8-30,Actin_Of,UNKNOWN,SYBR,None,19.9567203522,19.8781967163,0.1110505387,,,,0,0.02,1,3,18,,N,N,N,N,N
G7,8-30,OF_SC,UNKNOWN,SYBR,None,23.3099327087,23.3192634583,0.0131943235,,,,0,0.02,1,3,21,,N,N,N,N,N
G8,8-30,Actin_Of,UNKNOWN,SYBR,None,19.7996711731,19.8781967163,0.1110505387,,,,0,0.02,1,3,18,,N,N,N,N,N
G9,6-1,OF_SC,UNKNOWN,SYBR,None,19.4842720032,19.4469337463,0.0528056175,,,,0,0.02,1,3,17,,N,N,N,N,N
G10,6-1,Actin_Of,UNKNOWN,SYBR,None,18.3768081665,18.485294342,0.153423965,,,,0,0.02,1,3,16,,N,N,N,N,N
G11,0-NTC,OF_SC,UNKNOWN,SYBR,None,35.8216362,35.8216362,,,,,0,0.02,1,3,34,,N,N,N,N,N
G12,0-NTC,Actin_Of,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
H1,7-48,OF_SC,UNKNOWN,SYBR,None,22.2035942078,22.1042938232,0.1404319555,,,,0,0.02,1,3,20,,N,N,N,N,N
H2,7-48,Actin_Of,UNKNOWN,SYBR,None,19.5323829651,19.4568557739,0.1068115756,,,,0,0.02,1,3,17,,N,N,N,N,N
H3,7-48,OF_SC,UNKNOWN,SYBR,None,22.0049934387,22.1042938232,0.1404319555,,,,0,0.02,1,3,20,,N,N,N,N,N
H4,7-48,Actin_Of,UNKNOWN,SYBR,None,19.3813285828,19.4568557739,0.1068115756,,,,0,0.02,1,3,18,,N,N,N,N,N
H5,8-4,OF_SC,UNKNOWN,SYBR,None,23.5112476349,23.5508270264,0.0559737124,,,,0,0.02,1,3,22,,N,N,N,N,N
H6,8-4,Actin_Of,UNKNOWN,SYBR,None,20.5161247253,20.6067085266,0.1281048357,,,,0,0.02,1,3,18,,N,N,N,N,N
H7,8-4,OF_SC,UNKNOWN,SYBR,None,23.5904064178,23.5508270264,0.0559737124,,,,0,0.02,1,3,22,,N,N,N,N,N
H8,8-4,Actin_Of,UNKNOWN,SYBR,None,20.6972923279,20.6067085266,0.1281048357,,,,0,0.02,1,3,19,,N,N,N,N,N
H9,6-1,OF_SC,UNKNOWN,SYBR,None,19.4095935822,19.4469337463,0.0528056175,,,,0,0.02,1,3,17,,N,N,N,N,N
H10,6-1,Actin_Of,UNKNOWN,SYBR,None,18.5937824249,18.485294342,0.153423965,,,,0,0.02,1,3,17,,N,N,N,N,N
H11,0-NTC,OF_SC,UNKNOWN,SYBR,None,Undetermined,35.8216362,,,,,0,0.02,1,3,9,,Y,N,Y,Y,N
H12,0-NTC,Actin_Of,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
