,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,Ofav.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,Ofav.CT.sd,A.reps,B.reps,C.reps,D.reps,Ofav.reps,A.SH,B.SH,C.SH,D.SH,tot.SH,logTot.SH,logA.SH,logB.SH,logC.SH,logD.SH,D.Prp,RanA,ID
46,4-42,Ofav_Lauren_Plate4.csv,36.5125206604,NA,NA,25.149479866,16.1830991593,NA,NA,NA,0.2558765519,0.0692813267,1,0,0,2,2,0,0,0,0.0225376263,0.0225376263,-1.6470918265,NA,NA,NA,-1.6470918265,1,2,4-42.Ofav_Lauren_Plate4.csv
32,4-49,Ofav_Lauren_Plate3.csv,NA,NA,NA,23.2783327103,17.2402547684,NA,NA,NA,0.4774165721,1.289829783,0,0,0,2,2,0,0,0,0.1715596463,0.1715596463,-0.7655848579,NA,NA,NA,-0.7655848579,1,2,4-49.Ofav_Lauren_Plate3.csv
2,4-54,Ofav_Lauren_Plate1.csv,36.7121246948,NA,NA,23.5918169022,14.9393285599,NA,NA,NA,0.13603654,0.1092756514,1,0,0,2,2,0,0,0,0.0280155524,0.0280155524,-1.5526008093,NA,NA,NA,-1.5526008093,1,2,4-54.Ofav_Lauren_Plate1.csv
62,4-62,Ofav_Lauren_Plate5.csv,38.6301125183,14.9637379913,32.0203364868,24.4424953461,14.9039911118,NA,NA,NA,0.2110956939,0.1510934173,1,1,1,2,2,0,0,0,0.0151593936,0.0151593936,-1.8193181695,NA,NA,NA,-1.8193181695,1,2,4-62.Ofav_Lauren_Plate5.csv
65,4-69,Ofav_Lauren_Plate5.csv,39.6881264343,NA,NA,24.1934299469,15.3032764282,NA,NA,NA,0.0567991162,0.0462792627,1,0,0,2,2,0,0,0,0.02376046,0.02376046,-1.6241451564,NA,NA,NA,-1.6241451564,1,2,4-69.Ofav_Lauren_Plate5.csv
66,6-1,Ofav_Lauren_Plate5.csv,NA,32.7727952271,NA,23.1843109131,14.8234638062,NA,NA,NA,0.1243176931,0.3731688711,0,1,0,2,2,0,0,0,0.0342919317,0.0342919317,-1.4648080495,NA,NA,NA,-1.4648080495,1,2,6-1.Ofav_Lauren_Plate5.csv
20,6-118,Ofav_Lauren_Plate2.csv,NA,32.4599404602,NA,22.8999109268,15.5598281708,NA,NA,NA,0.0096418503,0.1097895058,0,1,0,2,2,0,0,0,0.0695781118,0.0695781118,-1.1575273614,NA,NA,NA,-1.1575273614,1,2,6-118.Ofav_Lauren_Plate2.csv
4,6-119A,Ofav_Lauren_Plate1.csv,NA,28.8797707825,NA,22.5766124726,14.8766902771,NA,NA,NA,0.2425716347,0.373581573,0,1,0,2,2,0,0,0,0.054218834,0.054218834,-1.2658498263,NA,NA,NA,-1.2658498263,1,2,6-119A.Ofav_Lauren_Plate1.csv
67,6-119B,Ofav_Lauren_Plate5.csv,NA,27.6783967285,NA,22.1149682999,15.0742591706,NA,NA,NA,0.176764557,0.397995725,0,1,0,2,2,0,0,0,0.0856235205,0.0856235205,-1.0674069198,NA,NA,NA,-1.0674069198,1,2,6-119B.Ofav_Lauren_Plate5.csv
81,6-21,Ofav_Lauren_Plate6.csv,NA,NA,NA,23.7772321701,16.3315290299,NA,NA,NA,0.6831228641,1.1232762273,0,0,0,2,2,0,0,0,0.0646662586,0.0646662586,-1.1893222652,NA,NA,NA,-1.1893222652,1,2,6-21.Ofav_Lauren_Plate6.csv
5,6-37,Ofav_Lauren_Plate1.csv,NA,29.6093583374,NA,24.1793432236,15.6347535935,NA,NA,NA,1.1650616245,0.3375699569,0,1,0,2,2,0,0,0,0.0301911697,0.0301911697,-1.5201200605,NA,NA,NA,-1.5201200605,1,2,6-37.Ofav_Lauren_Plate1.csv
23,6-39,Ofav_Lauren_Plate2.csv,NA,30.9325433044,NA,23.6539506913,16.8245004502,NA,NA,NA,0.1451834177,0.6392388912,0,1,0,2,2,0,0,0,0.0991261736,0.0991261736,-1.0038116577,NA,NA,NA,-1.0038116577,1,2,6-39.Ofav_Lauren_Plate2.csv
6,6-44,Ofav_Lauren_Plate1.csv,NA,35.3000397949,NA,24.0963544846,15.6878894653,NA,NA,NA,0.6354841127,0.386577638,0,1,0,2,2,0,0,0,0.0331785598,0.0331785598,-1.4791424695,NA,NA,NA,-1.4791424695,1,2,6-44.Ofav_Lauren_Plate1.csv
51,6-47,Ofav_Lauren_Plate4.csv,NA,NA,24.0561374207,23.0609331131,14.6643022385,NA,NA,NA,0.9898332358,0.0766344346,0,0,1,2,2,0,0,0,0.0334518363,0.0334518363,-1.475580037,NA,NA,NA,-1.475580037,1,2,6-47.Ofav_Lauren_Plate4.csv
24,6-50,Ofav_Lauren_Plate2.csv,NA,33.6955323486,NA,23.8987932205,15.0147870865,NA,NA,NA,0.0512950749,0.1034384815,0,1,0,2,2,0,0,0,0.0238619203,0.0238619203,-1.6222946092,NA,NA,NA,-1.6222946092,1,2,6-50.Ofav_Lauren_Plate2.csv
7,6-7,Ofav_Lauren_Plate1.csv,NA,27.5385918884,NA,23.1390581131,15.364535698,NA,NA,NA,0.0029118415,0.1267844639,0,1,0,2,2,0,0,0,0.0514864881,0.0514864881,-1.2883067301,NA,NA,NA,-1.2883067301,1,2,6-7.Ofav_Lauren_Plate1.csv
8,6-99,Ofav_Lauren_Plate1.csv,NA,30.1289391785,NA,24.2599229813,15.9477256623,NA,NA,NA,0.0752533666,0.7271781219,0,1,0,2,2,0,0,0,0.0354680242,0.0354680242,-1.4501630041,NA,NA,NA,-1.4501630041,1,2,6-99.Ofav_Lauren_Plate1.csv
9,7-40,Ofav_Lauren_Plate1.csv,40.042603363,NA,NA,24.3291044236,16.011567482,NA,NA,NA,0.0691032985,0.0477048377,1,0,0,2,2,0,0,0,0.0353369945,0.0353369945,-1.4517703906,NA,NA,NA,-1.4517703906,1,2,7-40.Ofav_Lauren_Plate1.csv
44,8-24,Ofav_Lauren_Plate3.csv,NA,NA,NA,24.500035286,17.8657707062,NA,NA,NA,0.1504757131,1.2858524692,0,0,0,2,2,0,0,0,0.1134867297,0.1134867297,-0.9450549189,NA,NA,NA,-0.9450549189,1,2,8-24.Ofav_Lauren_Plate3.csv
31,8-7,Ofav_Lauren_Plate2.csv,NA,NA,NA,25.5822038651,22.4085754242,NA,NA,NA,0.1669406324,4.3981915551,0,0,0,2,2,0,0,0,1.2493967245,1.2493967245,0.096700363,NA,NA,NA,0.096700363,1,2,8-7.Ofav_Lauren_Plate2.csv
