Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_Lauren_Plate5.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-29 14:30:30 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,NOSIGNAL,EXPFAIL,CTFAIL
A1,6-97,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
A2,6-97,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,18,,Y,N,N,N,Y,N,N
A3,6-97,Ofav,UNKNOWN,FAM,NFQ-MGB,24.3014583588,23.8904933929,0.581192255,,,,0,0.01,1,3,23,,N,Y,N,N,N,N,N
A4,6-97,Ofav,UNKNOWN,FAM,NFQ-MGB,23.4795284271,23.8904933929,0.581192255,,,,0,0.01,1,3,22,,N,Y,N,N,N,N,N
A5,6-97,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
A5,6-97,D,UNKNOWN,FAM,NFQ-MGB,23.242067337,23.2637748718,0.030699091,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
A6,6-97,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
A6,6-97,D,UNKNOWN,FAM,NFQ-MGB,23.2854824066,23.2637748718,0.030699091,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
A7,4-69,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
A7,4-69,D,UNKNOWN,FAM,NFQ-MGB,24.2335929871,24.1934299469,0.0567991175,,,,0,0.01,1,3,23,,N,N,Y,N,N,Y,N
A8,4-69,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
A8,4-69,D,UNKNOWN,FAM,NFQ-MGB,24.1532669067,24.1934299469,0.0567991175,,,,0,0.01,1,3,23,,N,N,Y,N,N,Y,N
A9,4-69,Ofav,UNKNOWN,FAM,NFQ-MGB,22.7520008087,22.7192764282,0.0462792628,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
A10,4-69,Ofav,UNKNOWN,FAM,NFQ-MGB,22.6865520477,22.7192764282,0.0462792628,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
A11,4-69,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
A12,4-69,A,UNKNOWN,FAM,NFQ-MGB,39.6241264343,39.6241264343,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
B1,6-23,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
B2,6-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,16,,Y,N,N,N,Y,N,N
B3,6-23,Ofav,UNKNOWN,FAM,NFQ-MGB,22.8749694824,22.7786369324,0.136233449,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
B4,6-23,Ofav,UNKNOWN,FAM,NFQ-MGB,22.6823062897,22.7786369324,0.136233449,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
B5,6-23,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
B5,6-23,D,UNKNOWN,FAM,NFQ-MGB,22.6271591187,22.5470314026,0.1133190542,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
B6,6-23,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
B6,6-23,D,UNKNOWN,FAM,NFQ-MGB,22.4669017792,22.5470314026,0.1133190542,,,,0,0.01,1,3,21,,N,N,Y,N,N,Y,N
B7,6-1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
B7,6-1,D,UNKNOWN,FAM,NFQ-MGB,23.0964050293,23.1843109131,0.1243176907,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
B8,6-1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
B8,6-1,D,UNKNOWN,FAM,NFQ-MGB,23.2722167969,23.1843109131,0.1243176907,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
B9,6-1,Ofav,UNKNOWN,FAM,NFQ-MGB,21.9755935669,22.2394638062,0.3731688857,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
B10,6-1,Ofav,UNKNOWN,FAM,NFQ-MGB,22.5033340454,22.2394638062,0.3731688857,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
B11,6-1,B,UNKNOWN,FAM,NFQ-MGB,36.9697952271,36.9697952271,,,,,0,0.01,1,3,35,,N,N,N,N,N,N,N
B12,6-1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
C1,6-30,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
C2,6-30,B,UNKNOWN,FAM,NFQ-MGB,36.1002311707,36.1002311707,,,,,0,0.01,1,3,39,,Y,N,N,Y,Y,Y,N
C3,6-30,Ofav,UNKNOWN,FAM,NFQ-MGB,23.5295696259,23.6089782715,0.1122994348,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
C4,6-30,Ofav,UNKNOWN,FAM,NFQ-MGB,23.6883850098,23.6089782715,0.1122994348,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
C5,6-30,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
C5,6-30,D,UNKNOWN,FAM,NFQ-MGB,22.8035736084,22.8190383911,0.0218705051,,,,0,0.01,1,3,21,,N,N,Y,N,N,Y,N
C6,6-30,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
C6,6-30,D,UNKNOWN,FAM,NFQ-MGB,22.8345031738,22.8190383911,0.0218705051,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
C7,6-119B,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
C7,6-119B,D,UNKNOWN,FAM,NFQ-MGB,22.2399597168,22.1149673462,0.1767645627,,,,0,0.01,1,3,21,,N,N,Y,N,N,Y,N
C8,6-119B,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
C8,6-119B,D,UNKNOWN,FAM,NFQ-MGB,21.9899768829,22.1149673462,0.1767645627,,,,0,0.01,1,3,21,,N,N,Y,N,N,Y,N
C9,6-119B,Ofav,UNKNOWN,FAM,NFQ-MGB,22.7716846466,22.4902591705,0.3979957104,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
C10,6-119B,Ofav,UNKNOWN,FAM,NFQ-MGB,22.2088336945,22.4902591705,0.3979957104,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
C11,6-119B,B,UNKNOWN,FAM,NFQ-MGB,31.8753967285,31.8753967285,,,,,0,0.01,1,3,31,,N,N,N,N,N,N,N
C12,6-119B,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
D1,7-80,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
D2,7-80,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,23,,Y,N,N,Y,Y,N,N
D3,7-80,Ofav,UNKNOWN,FAM,NFQ-MGB,23.130241394,23.1601295471,0.042266883,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
D4,7-80,Ofav,UNKNOWN,FAM,NFQ-MGB,23.1900157928,23.1601295471,0.042266883,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
D5,7-80,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
D5,7-80,D,UNKNOWN,FAM,NFQ-MGB,23.4413146973,23.4298667908,0.0161897838,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
D6,7-80,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
D6,7-80,D,UNKNOWN,FAM,NFQ-MGB,23.4184188843,23.4298667908,0.0161897838,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
D7,7-28,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
D7,7-28,D,UNKNOWN,FAM,NFQ-MGB,23.1522407532,23.166934967,0.0207794085,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
D8,7-28,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
D8,7-28,D,UNKNOWN,FAM,NFQ-MGB,23.1816272736,23.166934967,0.0207794085,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
D9,7-28,Ofav,UNKNOWN,FAM,NFQ-MGB,23.1318645477,22.9176902771,0.3028868139,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
D10,7-28,Ofav,UNKNOWN,FAM,NFQ-MGB,22.7035179138,22.9176902771,0.3028868139,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
D11,7-28,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
D12,7-28,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
E1,7-81,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
E2,7-81,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,13,,Y,N,N,N,Y,N,Y
E3,7-81,Ofav,UNKNOWN,FAM,NFQ-MGB,22.7845821381,22.7713775635,0.0186740886,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
E4,7-81,Ofav,UNKNOWN,FAM,NFQ-MGB,22.7581729889,22.7713775635,0.0186740886,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
E5,7-81,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
E5,7-81,D,UNKNOWN,FAM,NFQ-MGB,22.7698516846,22.7804298401,0.0149584226,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
E6,7-81,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
E6,7-81,D,UNKNOWN,FAM,NFQ-MGB,22.7910060883,22.7804298401,0.0149584226,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
E7,8-22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
E7,8-22,D,UNKNOWN,FAM,NFQ-MGB,23.7598552704,23.8587188721,0.1398142427,,,,0,0.01,1,3,23,,N,N,Y,N,N,Y,N
E8,8-22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
E8,8-22,D,UNKNOWN,FAM,NFQ-MGB,23.9575824738,23.8587188721,0.1398142427,,,,0,0.01,1,3,23,,N,N,Y,N,N,Y,N
E9,8-22,Ofav,UNKNOWN,FAM,NFQ-MGB,24.3393726349,24.5438156128,0.2891246974,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
E10,8-22,Ofav,UNKNOWN,FAM,NFQ-MGB,24.7482566833,24.5438156128,0.2891246974,,,,0,0.01,1,3,23,,N,N,N,N,N,N,N
E11,8-22,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
E12,8-22,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
F1,4-62,A,UNKNOWN,FAM,NFQ-MGB,38.5661125183,38.5661125183,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
F2,4-62,B,UNKNOWN,FAM,NFQ-MGB,19.1607379913,19.1607379913,,,,,0,0.01,1,3,24,,Y,N,N,N,Y,N,N
F3,4-62,Ofav,UNKNOWN,FAM,NFQ-MGB,22.2131519318,22.3199920654,0.1510934234,,,,0,0.01,1,3,20,,N,N,N,N,N,N,N
F4,4-62,Ofav,UNKNOWN,FAM,NFQ-MGB,22.4268302917,22.3199920654,0.1510934234,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
F5,4-62,C,UNKNOWN,VIC,NFQ-MGB,35.8183364868,35.8183364868,,,,,0,0.01,1,3,35,,N,N,N,N,N,N,N
F5,4-62,D,UNKNOWN,FAM,NFQ-MGB,24.2932281494,24.4424953461,0.2110956907,,,,0,0.01,1,3,23,,N,N,N,N,N,N,N
F6,4-62,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.8183364868,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
F6,4-62,D,UNKNOWN,FAM,NFQ-MGB,24.5917625427,24.4424953461,0.2110956907,,,,0,0.01,1,3,23,,N,N,Y,N,N,Y,N
F7,4-63,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
F7,4-63,D,UNKNOWN,FAM,NFQ-MGB,23.8629608154,23.8066253662,0.0796703547,,,,0,0.01,1,3,23,,N,N,Y,N,N,Y,N
F8,4-63,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
F8,4-63,D,UNKNOWN,FAM,NFQ-MGB,23.750289917,23.8066253662,0.0796703547,,,,0,0.01,1,3,23,,N,N,Y,N,N,Y,N
F9,4-63,Ofav,UNKNOWN,FAM,NFQ-MGB,24.5168380737,24.3446826935,0.2434644699,,,,0,0.01,1,3,23,,N,N,N,N,N,N,N
F10,4-63,Ofav,UNKNOWN,FAM,NFQ-MGB,24.1725273132,24.3446826935,0.2434644699,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
F11,4-63,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
F12,4-63,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
G1,4-66,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
G2,4-66,B,UNKNOWN,FAM,NFQ-MGB,12.0147924423,12.0147924423,,,,,0,0.01,1,3,15,,Y,N,N,N,Y,N,N
G3,4-66,Ofav,UNKNOWN,FAM,NFQ-MGB,22.4776439667,22.4434623718,0.0483400747,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
G4,4-66,Ofav,UNKNOWN,FAM,NFQ-MGB,22.409280777,22.4434623718,0.0483400747,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
G5,4-66,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
G5,4-66,D,UNKNOWN,FAM,NFQ-MGB,23.8632221222,23.721534729,0.2003762275,,,,0,0.01,1,3,23,,N,N,Y,N,N,Y,N
G6,4-66,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
G6,4-66,D,UNKNOWN,FAM,NFQ-MGB,23.5798473358,23.721534729,0.2003762275,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
G7,8-32,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
G7,8-32,D,UNKNOWN,FAM,NFQ-MGB,22.8949871063,23.0384941101,0.2029508948,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
G8,8-32,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
G8,8-32,D,UNKNOWN,FAM,NFQ-MGB,23.1820030212,23.0384941101,0.2029508948,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
G9,8-32,Ofav,UNKNOWN,FAM,NFQ-MGB,24.9567451477,25.0307655334,0.1046819836,,,,0,0.01,1,3,24,,N,N,N,N,N,N,N
G10,8-32,Ofav,UNKNOWN,FAM,NFQ-MGB,25.1047878265,25.0307655334,0.1046819836,,,,0,0.01,1,3,23,,N,N,N,N,N,N,N
G11,8-32,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
G12,8-32,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
H1,4-67,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
H2,4-67,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,20,,Y,N,N,N,Y,N,N
H3,4-67,Ofav,UNKNOWN,FAM,NFQ-MGB,23.2138500214,23.5049686432,0.4117039144,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
H4,4-67,Ofav,UNKNOWN,FAM,NFQ-MGB,23.796087265,23.5049686432,0.4117039144,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
H5,4-67,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
H5,4-67,D,UNKNOWN,FAM,NFQ-MGB,23.4221401215,23.4039154053,0.0257749893,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
H6,4-67,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
H6,4-67,D,UNKNOWN,FAM,NFQ-MGB,23.3856887817,23.4039154053,0.0257749893,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
H7,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
H7,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
H8,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
H8,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
H9,NTC,Ofav,UNKNOWN,FAM,NFQ-MGB,Undetermined,22.4254608154,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
H10,NTC,Ofav,UNKNOWN,FAM,NFQ-MGB,22.4254608154,22.4254608154,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
H11,NTC,B,UNKNOWN,FAM,NFQ-MGB,32.424949646,32.424949646,,,,,0,0.01,1,3,31,,N,N,N,N,N,N,N
H12,NTC,A,UNKNOWN,FAM,NFQ-MGB,24.7989997864,24.7989997864,,,,,0,0.01,1,3,24,,N,N,N,N,N,N,N
